연번,전체기관명,도로명주소,geometry
66,경찰청 서울특별시경찰청 서울동대문경찰서 휘경파출소,서울특별시 동대문구  한천로 266,[127.068023841813 37.5846745156333]
67,경찰청 서울특별시경찰청 서울동대문경찰서 회기파출소,서울특별시 동대문구  회기로18길 2,[127.05184927022 37.5910847312738]
68,경찰청 서울특별시경찰청 서울마포경찰서 서강지구대,"서울특별시 마포구  독막로22길 8(창전동, 서강지구대)",[126.929311426746 37.5473472146038]
69,경찰청 서울특별시경찰청 서울마포경찰서 공덕지구대,서울특별시 마포구 마포대로 195-1,[126.954039818166 37.5518094602317]
70,경찰청 서울특별시경찰청 서울마포경찰서 월드컵지구대,서울특별시 마포구  월드컵북로 30길 24,[126.909082347349 37.5687316891162]
71,경찰청 서울특별시경찰청 서울마포경찰서 홍익지구대,서울특별시 마포구  양화로11길 63,[126.913462507314 37.5518763429182]
72,경찰청 서울특별시경찰청 서울마포경찰서 용강지구대,서울특별시 마포구 토정로31길 35,[126.943083375629 37.5425613405773]
73,경찰청 서울특별시경찰청 서울마포경찰서 상암파출소,서울특별시 마포구  매봉산로 76,[126.893844619605 37.5782806848788]
74,경찰청 서울특별시경찰청 서울마포경찰서 망원파출소,서울특별시 마포구  망원로2길 63,[126.902733477039 37.554339428821]
75,경찰청 서울특별시경찰청 서울마포경찰서 연남파출소,서울특별시 마포구  연남로 4,[126.923762130152 37.5603356081643]
76,경찰청 서울특별시경찰청 서울영등포경찰서 중앙지구대,서울특별시 영등포구  영등포로46길 14,[126.907513795007 37.5180106135789]
77,경찰청 서울특별시경찰청 서울영등포경찰서 여의도지구대,서울특별시 영등포구  여의공원로 120 여의도지구대,[126.926691111146 37.5296207835407]
78,경찰청 서울특별시경찰청 서울영등포경찰서 문래지구대,서울특별시 영등포구  경인로 759,[126.897650067059 37.5135821557429]
80,경찰청 서울특별시경찰청 서울영등포경찰서 신길지구대,서울특별시 영등포구  신길로60다길 16 ,[126.914109138428 37.5135076032297]
81,경찰청 서울특별시경찰청 서울영등포경찰서 양평파출소,서울특별시 영등포구  선유로 95,[126.889684521673 37.522723047751]
82,경찰청 서울특별시경찰청 서울영등포경찰서 당산지구대,서울특별시 영등포구  당산로 221,[126.901263890593 37.5336156813601]
83,경찰청 서울특별시경찰청 서울영등포경찰서 대림지구대,서울특별시 영등포구  대림로23길 16-1,[126.898702865566 37.4934305498189]
84,경찰청 서울특별시경찰청 서울영등포경찰서 대림3파출소,서울특별시 영등포구 대림로 197,[126.898034371631 37.498313519439]
85,경찰청 서울특별시경찰청 서울영등포경찰서 영등포역파출소,서울특별시 영등포구 경인로90길 9-2,[126.901481165754 37.5134499023277]
86,경찰청 서울특별시경찰청 서울성동경찰서 한양지구대,서울특별시 성동구  사근동길 5,[127.041794349813 37.5603019185024]
87,경찰청 서울특별시경찰청 서울성동경찰서 성수지구대,서울특별시 성동구  광나루로2길 35 성수지구대,[127.055245559476 37.5482232014778]
88,경찰청 서울특별시경찰청 서울성동경찰서 서울숲지구대,서울특별시 성동구  성덕정길 77-2,[127.052273266357 37.5380574969255]
89,경찰청 서울특별시경찰청 서울성동경찰서 왕십리파출소,서울특별시 성동구  마장로 205,[127.032658353836 37.5666688968744]
90,경찰청 서울특별시경찰청 서울성동경찰서 행당파출소,서울특별시 성동구  행당로 89,[127.028855896061 37.5574289059055]
91,경찰청 서울특별시경찰청 서울성동경찰서 옥수파출소,서울특별시 성동구  독서당로 211,[127.014348948586 37.5438389184568]
92,경찰청 서울특별시경찰청 서울성동경찰서 금호파출소,서울특별시 성동구  금호로11길 2-1,[127.019618302754 37.5547388017359]
93,경찰청 서울특별시경찰청 서울성동경찰서 응봉파출소,서울특별시 성동구  독서당로 373 응봉파출소,[127.030020362088 37.5497977040106]
94,경찰청 서울특별시경찰청 서울성동경찰서 용답파출소,서울특별시 성동구  용답중앙길 49 용답파출소,[127.051758708211 37.5647821400746]
95,경찰청 서울특별시경찰청 서울동작경찰서 사당지구대,서울특별시 동작구  동작대로9길 35,[126.979530207922 37.480543999454]
96,경찰청 서울특별시경찰청 서울동작경찰서 노량진지구대,서울특별시 동작구  등용로12나길 2,[126.933297744002 37.5111477441801]
97,경찰청 서울특별시경찰청 서울동작경찰서 상도지구대,서울특별시 동작구  등용로 24 ,[126.936202457013 37.5059329821861]
98,경찰청 서울특별시경찰청 서울동작경찰서 남성지구대,서울특별시 동작구 사당로17나길 4,[126.973255444645 37.4841180387831]
99,경찰청 서울특별시경찰청 서울동작경찰서 흑석지구대,서울특별시 동작구 노량진로 248,[126.95363712242 37.5124023060832]
100,경찰청 서울특별시경찰청 서울동작경찰서 신대방지구대,서울특별시 동작구 신대방1다길 24,[126.905947114843 37.4866458271285]
101,경찰청 서울특별시경찰청 서울동작경찰서 대방파출소,서울특별시 동작구 여의대방로 130,[126.920574048532 37.4985652656913]
102,경찰청 서울특별시경찰청 서울광진경찰서 광나루지구대,서울특별시 광진구 아차산로 567,[127.103316501535 37.5444546646191]
103,경찰청 서울특별시경찰청 서울광진경찰서 화양지구대,서울특별시 광진구  능동로17길 39 화양지구대,[127.071267629589 37.5465267774587]
104,경찰청 서울특별시경찰청 서울광진경찰서 중곡1파출소,서울특별시 광진구 능동로 385,[127.082788101087 37.5637201146154]
105,경찰청 서울특별시경찰청 서울광진경찰서 중곡2파출소,서울특별시 광진구  능동로 346,[127.081475106274 37.5601504693098]
106,경찰청 서울특별시경찰청 서울광진경찰서 중곡3파출소,서울특별시 광진구 동일로76가길 28,[127.080138097194 37.5688068928836]
107,경찰청 서울특별시경찰청 서울광진경찰서 중곡4파출소,서울특별시 광진구  용마산로24길 7,[127.087260504516 37.5653510301975]
108,경찰청 서울특별시경찰청 서울광진경찰서 자양파출소,서울특별시 광진구 뚝섬로36길 9,[127.071616152061 37.5338581490659]
109,경찰청 서울특별시경찰청 서울광진경찰서 자양1파출소,서울특별시 광진구  자양번영로 80,[127.076922346899 37.5366207935691]
110,경찰청 서울특별시경찰청 서울광진경찰서 자양4파출소,서울특별시 광진구  뚝섬로22가길 43번지 자양4파출소,[127.063635996316 37.5351870096292]
111,경찰청 서울특별시경찰청 서울광진경찰서 구의파출소,서울특별시 광진구 광나루로 43길 26 구의파출소,[127.091667652198 37.5458954287516]
112,경찰청 서울특별시경찰청 서울서부경찰서 응암지구대,서울특별시 은평구  은평로 171,[126.926445885297 37.6016345299694]
113,경찰청 서울특별시경찰청 서울서부경찰서 신사지구대,서울특별시 은평구  은평터널로5길 6호,[126.90535752555 37.5917796902503]
114,경찰청 서울특별시경찰청 서울서부경찰서 녹번파출소,서울특별시 은평구  진흥로 진흥로200,[126.931835604338 37.6088118976774]
115,경찰청 서울특별시경찰청 서울서부경찰서 응암3파출소,서울특별시 은평구  응암로 208 ,[126.917536839269 37.5905275289984]
116,경찰청 서울특별시경찰청 서울서부경찰서 역촌파출소,서울특별시 은평구  연서로 61,[126.915065656503 37.6045881730664]
117,경찰청 서울특별시경찰청 서울강북경찰서 미아지구대,서울특별시 강북구 도봉로 127,[127.028264945396 37.6201553368322]
118,경찰청 서울특별시경찰청 서울강북경찰서 솔샘지구대,서울특별시 강북구 오현로 4,[127.030400810226 37.6163094791984]
119,경찰청 서울특별시경찰청 서울강북경찰서 수유1파출소,서울특별시 강북구  삼양로 305,[127.017581288566 37.6306754435128]
120,경찰청 서울특별시경찰청 서울강북경찰서 수유2파출소,서울특별시 강북구 삼각산로 115,[127.017097860052 37.6409214297195]
121,경찰청 서울특별시경찰청 서울강북경찰서 수유3파출소,서울특별시 강북구  한천로150길 76,[127.026584681492 37.6443352147613]
122,경찰청 서울특별시경찰청 서울강북경찰서 인수파출소,서울특별시 강북구 인수봉로 227,[127.012404041316 37.6394398066975]
123,경찰청 서울특별시경찰청 서울강북경찰서 번동파출소,서울특별시 강북구  한천로 969,[127.032580241056 37.6359777996055]
124,경찰청 서울특별시경찰청 서울강북경찰서 번3파출소,서울특별시 강북구  월계로 227,[127.048129996352 37.6236254564886]
125,경찰청 서울특별시경찰청 서울강북경찰서 삼양파출소,서울특별시 강북구  삼양로 239-1,[127.018177569406 37.6248320047698]
126,경찰청 서울특별시경찰청 서울금천경찰서 금천파출소,서울특별시 금천구 시흥대로57길 45,[126.899819857776 37.4542211790837]
127,경찰청 서울특별시경찰청 서울금천경찰서 문성지구대,서울특별시 금천구  독산로 76길 20,[126.903461586258 37.4695360013908]
128,경찰청 서울특별시경찰청 서울금천경찰서 백산지구대,서울특별시 금천구  탑골로2길 37 백산지구대,[126.912595677405 37.4510427230003]
129,경찰청 서울특별시경찰청 서울금천경찰서 가산파출소,서울특별시 금천구  벚꽃로56길 174,[126.888055745139 37.4799367297212]
130,경찰청 서울특별시경찰청 서울금천경찰서 독산파출소,서울특별시 금천구  벚꽃로10길 89,[126.89475752423 37.4646448212254]
131,경찰청 서울특별시경찰청 서울중랑경찰서 망우지구대,서울특별시 중랑구  망우로 391,[127.095531641978 37.5990315026677]
132,경찰청 서울특별시경찰청 서울중랑경찰서 중화지구대,서울특별시 중랑구  중랑천로 146,[127.072209222688 37.5979867086444]
133,경찰청 서울특별시경찰청 서울중랑경찰서 용마지구대,서울특별시 중랑구 동일로 566,[127.079936341665 37.5809441456434]
134,경찰청 서울특별시경찰청 서울중랑경찰서 봉화지구대,서울특별시 중랑구  신내로 177,[127.095529250904 37.6147837734163]
135,경찰청 서울특별시경찰청 서울중랑경찰서 면목본동파출소,서울특별시 중랑구  상봉로 27,[127.093877426792 37.5882025518883]
136,경찰청 서울특별시경찰청 서울중랑경찰서 면목삼팔파출소,서울특별시 중랑구  사가정로41길 45 (면목3.8파출소),[127.084154900474 37.5832071216876]
137,경찰청 서울특별시경찰청 서울중랑경찰서 상봉파출소,서울특별시 중랑구  중랑천로 69 상봉파출소,[127.072850562231 37.5913260054733]
138,경찰청 서울특별시경찰청 서울중랑경찰서 먹골파출소,서울특별시 중랑구 숙선옹주로7길 1,[127.081532352053 37.6146247980813]
139,경찰청 서울특별시경찰청 서울강남경찰서 역삼지구대,서울특별시 강남구 언주로108길 20,[127.041017856636 37.5083158851838]
140,경찰청 서울특별시경찰청 서울강남경찰서 논현1파출소,서울특별시 강남구 학동로 169,[127.02932175785 37.5138651397213]
141,경찰청 서울특별시경찰청 서울강남경찰서 논현2파출소,서울특별시 강남구 학동로 227,[127.033846444455 37.5152038126855]
142,경찰청 서울특별시경찰청 서울강남경찰서 삼성1파출소,서울특별시 강남구 영동대로112길 4,[127.060545856713 37.5149074360264]
143,경찰청 서울특별시경찰청 서울강남경찰서 삼성2파출소,서울특별시 강남구 선릉로 624,[127.043410455913 37.5122844954864]
144,경찰청 서울특별시경찰청 서울강남경찰서 청담파출소,서울특별시 강남구 학동로95길 19,[127.054275568617 37.5207979095084]
145,경찰청 서울특별시경찰청 서울강남경찰서 신사파출소,서울특별시 강남구 도산대로 143,[127.024133358022 37.5183707913463]
146,경찰청 서울특별시경찰청 서울강남경찰서 압구정파출소,서울특별시 강남구 압구정로 311,[127.035614442254 37.5293473229076]
147,경찰청 서울특별시경찰청 서울관악경찰서 당곡지구대,서울특별시 관악구  남부순환로191길 12 당곡지구대,[126.93436440338 37.4860068452142]
148,경찰청 서울특별시경찰청 서울관악경찰서 낙성대지구대,"서울특별시 관악구  봉천로 540, 낙성대지구대",[126.95759572971 37.4783269065956]
149,경찰청 서울특별시경찰청 서울관악경찰서 신림지구대,서울특별시 관악구  남부순환로188길 12 신림지구대,[126.933317348962 37.4840164722611]
150,경찰청 서울특별시경찰청 서울관악경찰서 관악산지구대,서울특별시 관악구  신림로 178 관악산지구대,[126.935263149906 37.473859396558]
151,경찰청 서울특별시경찰청 서울관악경찰서 구암지구대,서울특별시 관악구 은천로 93,[126.945428874003 37.4873527233282]
152,경찰청 서울특별시경찰청 서울관악경찰서 남현파출소,서울특별시 관악구  남현1가길 29 남현파출소,[126.977875262005 37.4746878600089]
153,경찰청 서울특별시경찰청 서울관악경찰서 난우파출소,서울특별시 관악구  난곡로64 난우파출소,[126.919249954798 37.4611182549024]
154,경찰청 서울특별시경찰청 서울관악경찰서 미성파출소,서울특별시 관악구  난곡로64가길 31,[126.915610467133 37.479924213477]
155,경찰청 서울특별시경찰청 서울관악경찰서 신사지구대,서울특별시 관악구  신사로 106,[126.914205074264 37.4872984954348]
156,경찰청 서울특별시경찰청 서울강서경찰서 화곡지구대,서울특별시 강서구  화곡로 308,[126.849656371385 37.551558168546]
157,경찰청 서울특별시경찰청 서울강서경찰서 공항지구대,서울특별시 강서구  방화동로 5 ,[126.808278457076 37.5623696520713]
158,경찰청 서울특별시경찰청 서울강서경찰서 까치산지구대,서울특별시 강서구  강서로7길 39,[126.845560142507 37.5293516336519]
159,경찰청 서울특별시경찰청 서울강서경찰서 가양지구대,서울강서구 허준로221-22 염강초등학교 1층(임시청사),[126.864221559963 37.5611125069483]
160,경찰청 서울특별시경찰청 서울강서경찰서 곰달래지구대,서울특별시 강서구  곰달래로59길 12,[126.863137915788 37.5329111812783]
161,경찰청 서울특별시경찰청 서울강서경찰서 방화3파출소,서울특별시 강서구  금낭화로26길 16,[126.814682089465 37.5798053719259]
162,경찰청 서울특별시경찰청 서울강서경찰서 염창지구대,서울특별시 강서구  공항대로59다길 80,[126.867402573447 37.5518937887923]
163,경찰청 서울특별시경찰청 서울강서경찰서 등촌2파출소,서울특별시 강서구  등촌로 167 ,[126.861869176287 37.5448086639425]
164,경찰청 서울특별시경찰청 서울강서경찰서 발산지구대,서울특별시 강서구  수명로2길 46 ,[126.826042665559 37.5494063246067]
165,경찰청 서울특별시경찰청 서울강서경찰서 화곡3파출소,서울특별시 강서구  강서로45다길 71,[126.835179100171 37.5446697303679]
166,경찰청 서울특별시경찰청 서울강서경찰서 마곡지구대,서울특별시 강서구 마곡중앙5로 32,[126.824231110067 37.5672439954454]
167,경찰청 서울특별시경찰청 서울강동경찰서 천호지구대,"서울특별시 강동구  구천면로 141, 천호지구대",[127.120777276664 37.5425732089475]
168,경찰청 서울특별시경찰청 서울강동경찰서 길동지구대,서울특별시 강동구 양재대로96길 35,[127.139188584154 37.5294507820334]
169,경찰청 서울특별시경찰청 서울강동경찰서 성내지구대,서울특별시 강동구  성내로 57 성내지구대 ,[127.126957376122 37.5286775394179]
170,경찰청 서울특별시경찰청 서울강동경찰서 암사지구대,서울특별시 강동구  고덕로 137 암사지구대,[127.140784057162 37.554996356036]
171,경찰청 서울특별시경찰청 서울강동경찰서 둔촌파출소,서울특별시 강동구  진황도로 239 둔촌파출소,[127.145654106374 37.5253343295674]
172,경찰청 서울특별시경찰청 서울강동경찰서 명일파출소,서울특별시 강동구 동남로 895 명일파출소,[127.156088167669 37.5536441814625]
173,경찰청 서울특별시경찰청 서울강동경찰서 강일파출소,서울특별시 강동구  아리수로91길 20,[127.173214774729 37.5648665308628]
174,경찰청 서울특별시경찰청 서울강동경찰서 고덕파출소,서울특별시 강동구  고덕로 61길61,[127.151706407438 37.5573170397825]
175,경찰청 서울특별시경찰청 서울강동경찰서 상일파출소,서울특별시 강동구 고덕로 80길 7,[127.165843956821 37.5562147602313]
176,경찰청 서울특별시경찰청 서울종암경찰서 석관파출소,서울특별시 성북구  화랑로32가길 20 석관파출소,[127.055268593826 37.6089587454453]
