학교구분,학교명,본분교,지역,주소,geometry
대학,대구가톨릭대학교,본교,경북,"경상북도 경산시 하양읍 하양로 13-13 (금락리, 대구가톨릭대학교) ",[128.807584697953 35.9091304681441]
대학,세한대학교,본교,전남,"전라남도 영암군 삼호읍 녹색로 1113 (산호리, 세한대학교) ",[126.483263979897 34.7453774187142]
대학,대신대학교,본교,경북,"경상북도 경산시 경청로222길 33 (백천동, 대신대학교) ",[128.745137321159 35.8039447889529]
대학,대전가톨릭대학교,본교,세종,"세종특별자치시 전의면 가톨릭대학로 30 (신방리, 대전가톨릭대학교) ",[127.197010251582 36.6545676995903]
대학,대전대학교,본교,대전,"대전광역시 동구 대학로 62 (용운동, 대전대학교) ",[127.459001869396 36.336696167799]
대학,대진대학교,본교,경기,"경기도 포천시 호국로 1007 (선단동, 대진대학교) ",[127.157554125254 37.8738102149097]
대학,서울기독대학교,본교,서울,"서울특별시 은평구 갈현로4길 26-2 (신사동, 서울기독대학교) ",[126.91219242164 37.6007568622066]
대학,덕성여자대학교,본교,서울,"서울특별시 도봉구 삼양로144길 33 (쌍문동, 덕성여자대학교) ",[127.015834944956 37.6524704146763]
대학,동국대학교,본교,서울,"서울특별시 중구 필동로1길 30 (장충동2가, 동국대학교) ",[126.998737605491 37.5589366401553]
대학,동국대학교(WISE),분교,경북,경상북도 경주시 동대로 123(석장동) ,[129.191030890607 35.8647938473327]
대학,동덕여자대학교,본교,서울,"서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교) ",[127.041176301847 37.6068148327539]
대학,동서대학교,본교,부산,"부산광역시 사상구 주례로 47 (주례동, 동서대학교) ",[129.007038894696 35.1460786494674]
대학,동신대학교,본교,전남,전라남도 나주시 동신대길 67 (대호동) ,[126.7179925226 35.0496248791451]
대학,동아대학교,본교,부산,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교) ",[128.96808496718 35.1188093910081]
대학,동양대학교,본교,경북,"경상북도 영주시 풍기읍 동양대로 145 (산법리, 동양대학교) ",[128.529936995112 36.8858482031431]
대학,동의대학교,본교,부산,"부산광역시 부산진구 엄광로 176 (가야동, 동의대학교) ",[129.036309884005 35.1443184545334]
대학,루터대학교,본교,경기,"경기도 용인시 기흥구 금화로82번길 20 (상갈동, 루터대학교) ",[127.113373362229 37.2644343800955]
대학,명지대학교,본교,경기,"경기도 용인시 처인구 명지로 116 (남동, 명지대학교용인캠퍼스) ",[127.190183727516 37.2218072639192]
대학,명지대학교,제2캠퍼스,서울,"서울특별시 서대문구 거북골로 34 (남가좌동, 명지대학교) ",[126.921348530876 37.5803770223812]
