학교구분,학교명,본분교,지역,주소
대학,충남대학교,본교,대전,"대전광역시 유성구 대학로 99 (궁동, 충남대학교) "
대학,충북대학교,본교,충북,"충청북도 청주시 서원구 충대로 1 (개신동, 충북대학교) "
대학,한국교원대학교,본교,충북,"충청북도 청주시 흥덕구 강내면 태성탑연로 250 (다락리, 한국교원대학교) "
대학,한국체육대학교,본교,서울,"서울특별시 송파구 양재대로 1239 (방이동, 한국체육대학교) "
대학,한국해양대학교,본교,부산,"부산광역시 영도구 태종로 727 (동삼동, 한국해양대학교) "
대학,한국교통대학교,본교,충북,"충청북도 충주시 대소원면 대학로 50 (검단리, 한국교통대학교) "
대학,경남과학기술대학교,본교,경남,"경상남도 진주시 동진로 33 (칠암동, 경남과학기술대학교) "
대학,서울과학기술대학교,본교,서울,"서울특별시 노원구 공릉로 232 (공릉동, 서울과학기술대학교) "
대학,한경국립대학교,본교,경기,"경기도 안성시 중앙로 327 (석정동, 한경대학교) "
대학,한밭대학교,본교,대전,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교) "
대학,서울시립대학교,본교,서울,"서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교) "
대학,가톨릭대학교,본교,경기,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정) "
대학,가톨릭대학교,제2캠퍼스,서울,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정) "
대학,가톨릭대학교,제3캠퍼스,서울,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정) "
대학,감리교신학대학교,본교,서울,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학) "
대학,강남대학교,본교,경기,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교) "
대학,건국대학교,본교,서울,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) "
대학,건국대학교(글로컬),분교,충북,"충청북도 충주시 충원대로 268 (단월동, 건국대학교 글로컬캠퍼스) "
대학,건양대학교,본교,충남,"충청남도 논산시 대학로 121 (내동, 건양대학교) "
대학,건양대학교,제2캠퍼스,대전,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원) "
대학,경기대학교,본교,경기,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교) "
대학,경기대학교,제2캠퍼스,서울,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교) "
대학,경남대학교,본교,경남,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교) "
대학,경동대학교,본교,강원,"강원도 고성군 토성면 봉포4길 46 (봉포리, 경동대학교) "
대학,대구한의대학교,본교,경북,경상북도 경산시 한의대로 1(유곡동) 
대학,경성대학교,본교,부산,"부산광역시 남구 수영로 309 (대연동, 경성대학교) "
대학,가천대학교,본교,경기,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교) "
대학,경일대학교,본교,경북,"경상북도 경산시 하양읍 가마실길 50 (부호리, 경일대학교) "
대학,경주대학교,본교,경북,"경상북도 경주시 태종로 188 (효현동, 경주대학교) "
대학,경희대학교,본교,서울,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교) "
대학,계명대학교,본교,대구,"대구광역시 달서구 달구벌대로 1095 (신당동, 계명대학교성서캠퍼스) "
대학,고려대학교,본교,서울,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계)) "
대학,고려대학교(세종),분교,세종,"세종특별자치시 조치원읍 세종로 2511 (서창리, 고려대학교세종캠퍼스) "
대학,고신대학교,본교,부산,"부산광역시 영도구 와치로 194 (동삼동, 고신대학교) "
대학,가톨릭관동대학교,본교,강원,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교) "
대학,광신대학교,본교,광주,"광주광역시 북구 양산택지소로 36 (본촌동, 광신대학교) "
대학,광운대학교,본교,서울,"서울특별시 노원구 광운로 20 (월계동, 광운대학교) "
대학,광주가톨릭대학교,본교,전남,"전라남도 나주시 남평읍 중남길 12-25 (남석리, 광주가톨릭대학교) "
대학,광주여자대학교,본교,광주,광주광역시 광산구 광주여대길 40 (산정동) 
대학,국민대학교,본교,서울,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교) "
대학,강서대학교,본교,서울,"서울특별시 강서구 까치산로24길 47 (화곡동, 케이씨대학교) "
대학,극동대학교,본교,충북,"충청북도 음성군 감곡면 대학길 76-32 (왕장리, 극동대학교) "
대학,나사렛대학교,본교,충남,"충청남도 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교) "
대학,단국대학교,본교,경기,"경기도 용인시 수지구 죽전로 152 (죽전동, 단국대학교) "
대학,대구대학교,본교,경북,"경상북도 경산시 진량읍 대구대로 201 (내리리, 대구대학교경산캠퍼스) "
대학,대구예술대학교,본교,경북,"경상북도 칠곡군 가산면 다부거문1길 202 (다부리, 대구예술대학교) "
대학,대구가톨릭대학교,본교,경북,"경상북도 경산시 하양읍 하양로 13-13 (금락리, 대구가톨릭대학교) "
대학,세한대학교,본교,전남,"전라남도 영암군 삼호읍 녹색로 1113 (산호리, 세한대학교) "
대학,대신대학교,본교,경북,"경상북도 경산시 경청로222길 33 (백천동, 대신대학교) "
대학,대전가톨릭대학교,본교,세종,"세종특별자치시 전의면 가톨릭대학로 30 (신방리, 대전가톨릭대학교) "
대학,대전대학교,본교,대전,"대전광역시 동구 대학로 62 (용운동, 대전대학교) "
대학,대진대학교,본교,경기,"경기도 포천시 호국로 1007 (선단동, 대진대학교) "
대학,서울기독대학교,본교,서울,"서울특별시 은평구 갈현로4길 26-2 (신사동, 서울기독대학교) "
대학,덕성여자대학교,본교,서울,"서울특별시 도봉구 삼양로144길 33 (쌍문동, 덕성여자대학교) "
대학,동국대학교,본교,서울,"서울특별시 중구 필동로1길 30 (장충동2가, 동국대학교) "
대학,동국대학교(WISE),분교,경북,경상북도 경주시 동대로 123(석장동) 
대학,동덕여자대학교,본교,서울,"서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교) "
대학,동서대학교,본교,부산,"부산광역시 사상구 주례로 47 (주례동, 동서대학교) "
대학,동신대학교,본교,전남,전라남도 나주시 동신대길 67 (대호동) 
대학,동아대학교,본교,부산,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교) "
대학,동양대학교,본교,경북,"경상북도 영주시 풍기읍 동양대로 145 (산법리, 동양대학교) "
대학,동의대학교,본교,부산,"부산광역시 부산진구 엄광로 176 (가야동, 동의대학교) "
대학,루터대학교,본교,경기,"경기도 용인시 기흥구 금화로82번길 20 (상갈동, 루터대학교) "
대학,명지대학교,본교,경기,"경기도 용인시 처인구 명지로 116 (남동, 명지대학교용인캠퍼스) "
대학,명지대학교,제2캠퍼스,서울,"서울특별시 서대문구 거북골로 34 (남가좌동, 명지대학교) "
대학,목원대학교,본교,대전,"대전광역시 서구 도안북로 88 (도안동, 목원대학교) "
대학,배재대학교,본교,대전,"대전광역시 서구 배재로 155-40 (도마동, 배재대학교) "
대학,부산가톨릭대학교,본교,부산,"부산광역시 금정구 오륜대로 57 (부곡동, 부산가톨릭대학교) "
대학,부산외국어대학교,본교,부산,"부산광역시 금정구 금샘로485번길 65 (남산동, 부산외국어대학교) "
대학,삼육대학교,본교,서울,"서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교) "
대학,상명대학교,본교,서울,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교) "
대학,상지대학교,본교,강원,"강원도 원주시 상지대길 83 (우산동, 상지대학교) "
대학,서강대학교,본교,서울,"서울특별시 마포구 백범로 35 (신수동, 서강대학교) "
대학,서경대학교,본교,서울,"서울특별시 성북구 서경로 124 (정릉동, 서경대학교) "
대학,서울신학대학교,본교,경기,"경기도 부천시 소사구 호현로489번길 52 (소사본동, 서울신학대학교) "
대학,서울여자대학교,본교,서울,"서울특별시 노원구 화랑로 621 (공릉동, 서울여자대학교) "
대학,서울장신대학교,본교,경기,"경기도 광주시 경안로 145 (경안동, 서울장신대학교) "
대학,서원대학교,본교,충북,"충청북도 청주시 서원구 무심서로 377-3 (모충동, 서원대학교) "
대학,선문대학교,본교,충남,"충청남도 아산시 탕정면 선문로221번길 70 (갈산리, 선문대학교) "
대학,성결대학교,본교,경기,"경기도 안양시 만안구 성결대학로 53 (안양동, 성결대학교) "
대학,성공회대학교,본교,서울,"서울특별시 구로구 연동로 320 (항동, 성공회대학교) "
대학,성균관대학교,본교,서울,"서울특별시 종로구 성균관로 25-2 (명륜3가, 성균관대학교) "
대학,성신여자대학교,본교,서울,"서울특별시 성북구 보문로34다길 2 (돈암동, 성신여자대학교) "
대학,세명대학교,본교,충북,"충청북도 제천시 세명로 65 (신월동, 세명대학교) "
대학,세종대학교,본교,서울,"서울특별시 광진구 능동로 209 (군자동, 세종대학교) "
대학,수원가톨릭대학교,본교,경기,"경기도 화성시 봉담읍 왕림1길 67 (왕림리, 수원가톨릭대학교) "
대학,수원대학교,본교,경기,"경기도 화성시 봉담읍 와우안길 17 (와우리, 수원대학교) "
대학,숙명여자대학교,본교,서울,"서울특별시 용산구 청파로47길 90 (청파동2가, 숙명여자대학교) "
대학,순천향대학교,본교,충남,"충청남도 아산시 신창면 순천향로 22 (읍내리, 순천향대학교) "
대학,숭실대학교,본교,서울,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교) "
대학,신라대학교,본교,부산,"부산광역시 사상구 백양대로700번길 140 (괘법동, 신라대학교) "
대학,아신대학교,본교,경기,경기도 양평군 옥천면 경강로 1276 아신대학교
대학,아주대학교,본교,경기,"경기도 수원시 영통구 월드컵로 206 (원천동, 아주대학교) "
대학,안양대학교,본교,경기,"경기도 안양시 만안구 삼덕로37번길 22 (안양동, 안양대학교) "
대학,안양대학교,제2캠퍼스,인천,"인천광역시 강화군 불은면 중앙로 602-14 (삼성리, 안양대학교강화캠퍼스) "
대학,연세대학교,본교,서울,"서울특별시 서대문구 연세로 50 (신촌동, 연세대학교) "
대학,연세대학교(미래),분교,강원,강원도 원주시 흥업면 연세대길 1 연세대학교 미래캠퍼스
대학,영남대학교,본교,경북,"경상북도 경산시 대학로 280 (대동, 영남대학교) "
대학,영남신학대학교,본교,경북,"경상북도 경산시 진량읍 봉회1길 26 (봉회리, 영남신학대학교) "
대학,유원대학교,본교,충북,충청북도 영동군 영동읍 대학로 310 
대학,영산선학대학교,본교,전남,전라남도 영광군 백수읍 성지로 1357 (길용리) 
대학,용인대학교,본교,경기,"경기도 용인시 처인구 용인대학로 134 (삼가동, 용인대학교) "
대학,우석대학교,본교,전북,"전라북도 완주군 삼례읍 삼례로 443 (후정리, 우석대학교) "
대학,울산대학교,본교,울산,"울산광역시 남구 대학로 93 (무거동, 울산대학교) "
대학,원광대학교,본교,전북,"전라북도 익산시 익산대로 460 (신동, 원광대학교) "
대학,위덕대학교,본교,경북,"경상북도 경주시 강동면 동해대로 261 (유금리, 위덕대학교) "
대학,을지대학교,본교,대전,"대전광역시 중구 계룡로771번길 77 (목동, 을지대학교대전캠퍼스) "
대학,을지대학교,제2캠퍼스,경기,"경기도 성남시 수정구 산성대로 553 (양지동, 을지대학교) "
대학,이화여자대학교,본교,서울,"서울특별시 서대문구 이화여대길 52 (대현동, 이화여자대학교) "
대학,인제대학교,본교,경남,"경상남도 김해시 인제로 197 (어방동, 인제대학교) "
대학,인제대학교,제2캠퍼스,부산,"부산광역시 부산진구 복지로 75 (개금동, 백병원) "
대학,인천가톨릭대학교,제2캠퍼스,인천,인천광역시 연수구 송도문화로120번길 20 (송도동) 인천가톨릭대학교
대학,인천가톨릭대학교,본교,인천,"인천광역시 강화군 양도면 고려왕릉로 53-1 (도장리, 인천가톨릭대학교) "
대학,인하대학교,본교,인천,인천광역시 미추홀구 인하로 100(용현동) 인하대학교
대학,장로회신학대학교,본교,서울,"서울특별시 광진구 광장로5길 25-1 (광장동, 장로회신학대학교) "
대학,전주대학교,본교,전북,"전라북도 전주시 완산구 천잠로 303 (효자동2가, 전주대학교) "
대학,조선대학교,본교,광주,광주광역시 동구 조선대길 146(서석동) 
대학,중부대학교,본교,충남,"충청남도 금산군 추부면 대학로 201 (마전리, 중부대학교) "
대학,중앙대학교,제2캠퍼스,경기,"경기도 안성시 대덕면 서동대로 4726 (내리, 중앙대학교) "
대학,중앙대학교,본교,서울,"서울특별시 동작구 흑석로 84 (흑석동, 중앙대학교) "
대학,중앙승가대학교,본교,경기,"경기도 김포시 승가로 147 (풍무동, 중앙승가대학) "
대학,백석대학교,본교,충남,충청남도 천안시 동남구 백석대학로 1 (안서동) 
대학,청주대학교,본교,충북,"충청북도 청주시 청원구 대성로 298 (내덕동, 청주대학교) "
대학,총신대학교,본교,서울,"서울특별시 동작구 사당로 143 (사당동, 총신대학교) "
대학,추계예술대학교,본교,서울,"서울특별시 서대문구 북아현로11가길 7 (북아현동, 추계예술대학교) "
대학,한국침례신학대학교,본교,대전,"대전광역시 유성구 북유성대로 190 (하기동, 침례신학대학) "
대학,칼빈대학교,본교,경기,"경기도 용인시 기흥구 마북로 184 (마북동, 칼빈대학교) "
대학,평택대학교,본교,경기,"경기도 평택시 서동대로 3825 (용이동, 평택대학교) "
대학,차의과학대학교,본교,경기,"경기도 포천시 해룡로 120 (동교동, 포천중문의과대학) 차의과학대학교"
대학,포항공과대학교,본교,경북,"경상북도 포항시 남구 청암로 77 (지곡동, 포항공과대학교) "
대학,한국기술교육대학교,본교,충남,"충청남도 천안시 동남구 병천면 충절로 1600 (가전리, 한국기술교육대학교) "
대학,한국성서대학교,본교,서울,"서울특별시 노원구 동일로214길 32 (상계동, 한국성서대학교) "
대학,한국외국어대학교,본교,서울,"서울특별시 동대문구 이문로 107 (이문동, 한국외국어대학교) "
대학,한국항공대학교,본교,경기,"경기도 고양시 덕양구 항공대학로 76 (화전동, 한국항공대학교) "
대학,한남대학교,본교,대전,"대전광역시 대덕구 한남로 70 (오정동, 한남대학교) "
대학,한동대학교,본교,경북,"경상북도 포항시 북구 흥해읍 한동로 558 (남송리, 한동대학교) "
대학,한라대학교,본교,강원,"강원도 원주시 흥업면 한라대길 28 (흥업리, 한라대학교) "
대학,한림대학교,본교,강원,"강원도 춘천시 한림대학길 1 (옥천동, 한림대학교) "
대학,한서대학교,본교,충남,"충청남도 서산시 해미면 한서1로 46 (대곡리, 한서대학교) "
대학,한성대학교,본교,서울,"서울특별시 성북구 삼선교로16길 116 (삼선동2가, 한성대학교) "
대학,한세대학교,본교,경기,경기도 군포시 한세로 30 (당정동) 
대학,한신대학교,본교,경기,"경기도 오산시 한신대길 137 (양산동, 한신대학교) "
대학,한양대학교,본교,서울,"서울특별시 성동구 왕십리로 222 (사근동, 한양대학교) "
대학,한양대학교(ERICA),분교,경기,"경기도 안산시 상록구 한양대학로 55 (사동, 한양대학교) "
대학,서울한영대학교,본교,서울,서울특별시 구로구 경인로 290-42 (개봉동) 
대학,한일장신대학교,본교,전북,"전라북도 완주군 상관면 왜목로 726-15 (신리, 한일장신대학교) "
대학,협성대학교,본교,경기,"경기도 화성시 봉담읍 최루백로 72 (상리, 협성대학교) "
대학,호남대학교,본교,광주,"광주광역시 광산구 호남대길 120 (서봉동, 호남대학본부) "
대학,호남신학대학교,본교,광주,"광주광역시 남구 제중로 77 (양림동, 호남신학대학교) "
대학,호서대학교,본교,충남,"충청남도 아산시 배방읍 호서로79번길 20 (세출리, 호서대학교) "
대학,홍익대학교,본교,서울,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교) "
대학,가톨릭꽃동네대학교,본교,충북,"충청북도 청주시 서원구 현도면 상삼길 133 (상삼리, 꽃동네대학교) "
대학,남부대학교,본교,광주,광주광역시 광산구 남부대길 1 (월계동) 
대학,예원예술대학교,본교,전북,"전라북도 임실군 신평면 창인로 117 (창인리, 예원예술학교) "
대학,예원예술대학교,제2캠퍼스,경기,경기도 양주시 은현면 예원대학로 56 
대학,목포가톨릭대학교,본교,전남,"전라남도 목포시 영산로 697 (석현동, 목포가톨릭대학교) "
대학,부산장신대학교,본교,경남,경상남도 김해시 김해대로 1894-68 (구산동) 
대학,금강대학교,본교,충남,"충청남도 논산시 상월면 상월로 522 (대명리, 금강대학교) "
대학,예수대학교,본교,전북,"전라북도 전주시 완산구 서원로 383 (중화산동1가, 예수대학교) "
대학,한국국제대학교,본교,경남,"경상남도 진주시 문산읍 동부로 965 (상문리, 한국국제대학교) "
대학,광주대학교,본교,광주,"광주광역시 남구 효덕로 277 (진월동, 광주대학교) "
대학,화성의과학대학교,본교,경기,경기도 화성시 남양읍 남양중앙로 400-5 
대학,동명대학교,본교,부산,"부산광역시 남구 신선로 428 (용당동, 동명대학교) "
대학,영산대학교,본교,경남,경상남도 양산시 주남로 288 (주남동) 영산대학교 양산캠퍼스
대학,영산대학교,제2캠퍼스,부산,부산광역시 해운대구 반송순환로 142 (반송동) 영산대학교 해운대캠퍼스
대학,대전신학대학교,본교,대전,"대전광역시 대덕구 한남로 41 (오정동, 대전신학대학교) "
대학,중원대학교,본교,충북,"충청북도 괴산군 괴산읍 문무로 85 (동부리, 중원대학교) "
대학,우송대학교,본교,대전,"대전광역시 동구 동대전로 171 (자양동, 우송정보대학) "
대학,김천대학교,본교,경북,"경상북도 김천시 대학로 214 (삼락동, 김천대학교) "
대학,송원대학교,본교,광주,"광주광역시 남구 송암로 73 (송하동, 송원대학) "
대학,경운대학교,본교,경북,"경상북도 구미시 산동면 강동로 730 (인덕리, 경운대학교) "
대학,남서울대학교,본교,충남,"충청남도 천안시 서북구 성환읍 대학로 91 (매주리, 남서울대학교) "
대학,초당대학교,본교,전남,"전라남도 무안군 무안읍 무안로 380 (성남리, 초당대학교) "
대학,한국공학대학교,본교,경기,"경기도 시흥시 산기대학로 237 (정왕동, 한국산업기술대학교) "
대학,제주국제대학교,본교,제주,제주특별자치도 제주시 516로 2870 (영평동) 
대학,창신대학교,본교,경남,"경상남도 창원시 마산회원구 팔용로 262 (합성동, 창신대학) "
대학,울산과학기술원,본교,울산,"울산광역시 울주군 언양읍 유니스트길 50 (반연리, 울산과학기술원) "
대학,공주교육대학교,본교,충남,"충청남도 공주시 웅진로 27 (봉황동, 공주교육대학교) "
대학,광주교육대학교,본교,광주,"광주광역시 북구 필문대로 55 (풍향동, 광주교육대학교) "
대학,대구교육대학교,본교,대구,"대구광역시 남구 중앙대로 219 (대명동, 대구교육대학교) "
대학,부산교육대학교,본교,부산,"부산광역시 연제구 교대로 24 (거제동, 부산교육대학교) 교무처"
대학,서울교육대학교,본교,서울,"서울특별시 서초구 서초중앙로 96 (서초동, 서울교육대학교) "
대학,경인교육대학교,본교,인천,"인천광역시 계양구 계산로 62 (계산동, 경인교육대학교) "
대학,경인교육대학교,제2캠퍼스,경기,"경기도 안양시 만안구 삼막로 155 (석수동, 경인교육대학교) "
대학,전주교육대학교,본교,전북,"전라북도 전주시 완산구 서학로 50 (동서학동, 전주교육대학교) "
대학,진주교육대학교,본교,경남,"경상남도 진주시 진양호로369번길 3 (신안동, 진주교육대학교) "
대학,청주교육대학교,본교,충북,"충청북도 청주시 서원구 청남로 2065 (수곡동, 청주교육대학교) "
대학,춘천교육대학교,본교,강원,"강원도 춘천시 공지로 126 (석사동, 춘천교육대학교) "
대학,한밭대학교(산업대),본교,대전,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교) "
대학,한경대학교(산업대),본교,경기,"경기도 안성시 중앙로 327 (석정동, 한경대학교) "
대학,진주산업대학교(산업대),본교,경남,"경상남도 진주시 동진로 33 (칠암동, 경남과학기술대학교) "
대학,한국산업기술대학교(산업대),본교,경기,"경기도 시흥시 산기대학로 237 (정왕동, 한국산업기술대학교) "
대학,한국방송통신대학교,본교,서울,"서울특별시 종로구 대학로 86 (동숭동, 한국방송통신대학교) "
대학,남서울대학교(산업대),본교,충남,"충청남도 천안시 서북구 성환읍 대학로 91 (매주리, 남서울대학교) "
대학,우송대학교(산업대),본교,대전,"대전광역시 동구 동대전로 171 (자양동, 우송정보대학) "
대학,호원대학교,본교,전북,"전라북도 군산시 임피면 호원대3길 64 (월하리, 호원대학교) "
대학,초당대학교(산업대),본교,전남,"전라남도 무안군 무안읍 무안로 380 (성남리, 초당대학교) "
대학,청운대학교,본교,충남,"충청남도 홍성군 홍성읍 대학길 25 (남장리, 청운대학교) "
대학,경운대학교(산업대),본교,경북,"경상북도 구미시 산동면 강동로 730 (인덕리, 경운대학교) "
대학,정석대학,본교,서울,서울특별시 강서구 오정로 576 (공항동) 
대학,순복음총회신학교,본교,충북,충청북도 제천시 덕산면 도전로 320 (도전리) 
대학,경희사이버대학교,본교,서울,"서울특별시 동대문구 경희대로 26 (회기동, 경희사이버대학교) "
대학,국제사이버대학교,본교,경기,경기도 수원시 팔달구 경수대로 490 (인계동) 
대학,대구사이버대학교,본교,경북,"경상북도 경산시 진량읍 대구대로 201 (내리리, 대구대학교경산캠퍼스) "
대학,부산디지털대학교,본교,부산,"부산광역시 사상구 주례로 57 (주례동, 부산디지털대학교) "
대학,서울디지털대학교,본교,서울,"서울특별시 강서구 공항대로 424 (화곡동, 서울디지털대학교) "
대학,서울사이버대학교,본교,서울,"서울특별시 강북구 솔매로49길 60 (미아동, 서울사이버대학교) "
대학,세종사이버대학교,본교,서울,"서울특별시 광진구 군자로 121 (군자동, 세종사이버대학) "
대학,한국열린사이버대학교,본교,서울,"서울특별시 중랑구 망우로 353, C동 9층(상봉프레미어스엠코) "
대학,원광디지털대학교,본교,전북,"전라북도 익산시 익산대로 460 (신동, 원광디지털대학교) "
대학,고려사이버대학교,본교,서울,"서울특별시 종로구 북촌로 106 (계동, 고려사이버대학교) "
대학,숭실사이버대학교,본교,서울,"서울특별시 종로구 삼일대로30길 23 (익선동, BIZWELL종로오피스텔) "
대학,디지털서울문화예술대학교,본교,서울,"서울특별시 서대문구 통일로37길 60 (홍제동, 디지털서울문화예술대학교) "
대학,한양사이버대학교,본교,서울,"서울특별시 성동구 왕십리로 220 (행당동, 한양사이버대학교) "
대학,사이버한국외국어대학교,본교,서울,"서울특별시 동대문구 이문로 107 (이문동, 한국외국어대학교) "
대학,화신사이버대학교,본교,부산,"부산광역시 연제구 고분로191번길 1 (연산동, 화신사이버대학교) "
대학,글로벌사이버대학교,본교,충남,"충청남도 천안시 동남구 목천읍 교천지산길 284-88 (지산리, 글로벌사이버대학교) "
대학,건양사이버대학교,본교,대전,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원) 건양사이버대학교"
대학,한국과학기술원,본교,대전,"대전광역시 유성구 대학로 291 (구성동, 한국과학기술원) "
대학,광주과학기술원,본교,광주,"광주광역시 북구 첨단과기로 123 (오룡동, 광주과학기술원) "
대학,대구경북과학기술원,본교,대구,대구광역시 달성군 현풍면 테크노중앙대로 333 (상리) 
대학,한국예술종합학교,본교,서울,"서울특별시 성북구 화랑로32길 146-37 (석관동, 한국종합예술학교) "
전문대학,경남도립거창대학,본교,경남,"경상남도 거창군 거창읍 거창대학로 72 (대평리, 경남도립거창대학) "
전문대학,경남도립남해대학,본교,경남,"경상남도 남해군 남해읍 화전로78번길 30 (남변리, 경남도립남해대학) "
전문대학,경북도립대학교,본교,경북,"경상북도 예천군 예천읍 도립대학길 114 (청복리, 경북도립대학교) "
전문대학,충북도립대학교,본교,충북,충청북도 옥천군 옥천읍 대학길 15 (문정리) 
전문대학,가톨릭상지대학교,본교,경북,"경상북도 안동시 상지길 45 (율세동, 가톨릭상지대학교) "
전문대학,거제대학교,본교,경남,"경상남도 거제시 마전1길 91 (장승포동, 거제대학) "
전문대학,호산대학교,본교,경북,"경상북도 경산시 하양읍 대경로105길 19 (부호리, 호산대학교) "
전문대학,경민대학교,본교,경기,"경기도 의정부시 서부로 545 (가능동, 경민대학) "
전문대학,영남외국어대학,본교,경북,"경상북도 경산시 남천면 남천로 780-9 (협석리, 영남외국어대학) "
전문대학,경인여자대학교,본교,인천,"인천광역시 계양구 계양산로 63 (계산동, 경인여자대학) "
전문대학,계명문화대학교,본교,대구,"대구광역시 달서구 달서대로 675 (신당동, 계명문화대학교) "
전문대학,계원예술대학교,본교,경기,"경기도 의왕시 계원대학로 66 (내손동, 계원예술대학교) "
전문대학,광양보건대학교,본교,전남,"전라남도 광양시 광양읍 대학로 85 (덕례리, 광양보건대학) "
전문대학,광주보건대학교,본교,광주,"광주광역시 광산구 북문대로419번길 73 (신창동, 광주보건대학) "
전문대학,구미대학교,본교,경북,"경상북도 구미시 야은로 37 (부곡동, 구미대학교) "
전문대학,군장대학교,본교,전북,"전라북도 군산시 성산면 군장대길 13 (도암리, 군장대학) "
전문대학,강동대학교,본교,충북,"충청북도 음성군 감곡면 대학길 278 (단평리, 강동대학교) "
전문대학,고구려대학교,본교,전남,"전라남도 나주시 다시면 백호로 125 (복암리, 고구려대학) "
전문대학,전주기전대학,본교,전북,"전라북도 전주시 완산구 전주천서로 267 (중화산동1가, 전주기전대학) "
전문대학,경북보건대학교,본교,경북,"경상북도 김천시 대학로 168 (삼락동, 경북보건대학교) "
전문대학,김포대학교,본교,경기,"경기도 김포시 월곶면 김포대학로 97 (포내리, 김포대학교) "
전문대학,농협대학교,본교,경기,"경기도 고양시 덕양구 서삼릉길 281 (원당동, 농협대학) "
전문대학,대경대학교,본교,경북,"경상북도 경산시 자인면 단북1길 65 (단북리, 대경대학) "
전문대학,대구공업대학교,본교,대구,"대구광역시 달서구 송현로 205 (본동, 대구공업대학) "
전문대학,대구보건대학교,본교,대구,"대구광역시 북구 영송로 15 (태전동, 대구보건대학) "
전문대학,대구과학대학교,본교,대구,"대구광역시 북구 영송로 47 (태전동, 대구과학대학) "
